Algebraic modular forms associated to discriminant -88

Genus size: 6

Class representative:
[2 1 1 0 0 0]
[1 2 1 0 0 0]
[1 1 2 0 0 0]
[0 0 0 2 0 0]
[0 0 0 0 2 1]
[0 0 0 0 1 6]

Char. Poly                               Size    (spin, det) = (1, 1)    (1, -1)    (2, 1)    (2, -1)    (11, 1)    (11, -1)    (22, 1)    (22, -1)
(x - 1) * (x + 1)^3 * (x^2 + 1)             6                       1         -1        -1          1         -1           1          1          -1
(x + 1) * (x - 1)^3 * (x^2 + 1)             6                       1         -1        -1          1          1          -1         -1           1
(x - 1)^2 * (x + 1)^2 * (x^2 + 1)           6                       1          1        -1         -1         -1          -1          1           1
(x + 1) * (x - 1)^3 * (x^2 + 1)             6                       1         -1        -1          1          1          -1         -1           1
(x - 1)^2 * (x + 1)^2 * (x^2 + 1)           6                       1          1        -1         -1         -1          -1          1           1
(x - 1)^4 * (x^2 + 1)                       6                       1          1        -1         -1          1           1         -1          -1
(x + 1) * (x - 1)^3 * (x^2 + 1)             6                       1         -1        -1          1         -1           1          1          -1
(x + 1)^2 * (x - 1)^4                       1                       1          1         1          1          1           1          1           1
(x - 1)^3 * (x + 1)^3                       1                       1         -1         1         -1         -1           1         -1           1
(x + 1) * (x - 1)^5                         1                       1         -1         1         -1          1          -1          1          -1
(x + 1)^2 * (x - 1)^4                       1                       1          1         1          1         -1          -1         -1          -1
(x + 1) * (x - 1)^5                         1                       1         -1         1         -1          1          -1          1          -1
(x + 1)^2 * (x - 1)^4                       1                       1          1         1          1         -1          -1         -1          -1
(x - 1)^2 * (x + 1)^4                       3                       1          1         1          1          1           1          1           1
(x + 1) * (x - 1)^5                         1                       1         -1         1         -1         -1           1         -1           1

#O(Q) = 384
#SO(Q) = 192

------------------------------------------------------------------------------------------------------------------------

Class representative:
[ 2  1  1  0  0  0]
[ 1  2  1  0  0  0]
[ 1  1  2  0  0  0]
[ 0  0  0  2 -1 -1]
[ 0  0  0 -1  2  0]
[ 0  0  0 -1  0  8]

Char. Poly                                           Size    (spin, det) = (1, 1)    (1, -1)    (2, 1)    (2, -1)    (11, 1)    (11, -1)    (22, 1)    (22, -1)
-------------------------------------------------  ------  ----------------------  ---------  --------  ---------  ---------  ----------  ---------  ----------
(x - 1)^6                                               1                       1          1         1          1          1           1          1           1
(x + 1)^6                                               1                       1          1        -1         -1         -1          -1          1           1
(x + 1)^2 * (x - 1)^4                                   3                       1          1         1          1          1           1          1           1
(x - 1)^2 * (x + 1)^4                                   3                       1          1        -1         -1         -1          -1          1           1
(x - 1)^4 * (x^2 + x + 1)                               8                       1          1         1          1          1           1          1           1
(x + 1)^4 * (x^2 - x + 1)                               8                       1          1        -1         -1         -1          -1          1           1
(x - 1)^4 * (x^2 + x + 1)                               2                       1          1         1          1          1           1          1           1
(x + 1)^4 * (x^2 - x + 1)                               2                       1          1        -1         -1         -1          -1          1           1
(x - 1)^2 * (x + 1)^2 * (x^2 + x + 1)                   6                       1          1         1          1          1           1          1           1
(x - 1)^2 * (x + 1)^2 * (x^2 - x + 1)                   6                       1          1        -1         -1         -1          -1          1           1
(x - 1)^2 * (x^2 + x + 1)^2                            16                       1          1         1          1          1           1          1           1
(x + 1)^2 * (x^2 - x + 1)^2                            16                       1          1        -1         -1         -1          -1          1           1
(x - 1) * (x + 1)^5                                     3                       1         -1        -1          1         -1           1          1          -1
(x + 1) * (x - 1)^5                                     3                       1         -1         1         -1          1          -1          1          -1
(x - 1)^3 * (x + 1)^3                                   9                       1         -1        -1          1         -1           1          1          -1
(x - 1)^3 * (x + 1)^3                                   9                       1         -1         1         -1          1          -1          1          -1
(x - 1) * (x + 1)^3 * (x^2 - x + 1)                    24                       1         -1        -1          1         -1           1          1          -1
(x + 1) * (x - 1)^3 * (x^2 + x + 1)                    24                       1         -1         1         -1          1          -1          1          -1
(x - 1)^3 * (x + 1)^3                                   1                       1         -1        -1          1          1          -1         -1           1
(x - 1)^3 * (x + 1)^3                                   1                       1         -1         1         -1         -1           1         -1           1
(x + 1) * (x - 1)^5                                     3                       1         -1        -1          1          1          -1         -1           1
(x - 1) * (x + 1)^5                                     3                       1         -1         1         -1         -1           1         -1           1
(x + 1) * (x - 1)^3 * (x^2 - x + 1)                     8                       1         -1        -1          1          1          -1         -1           1
(x - 1) * (x + 1)^3 * (x^2 + x + 1)                     8                       1         -1         1         -1         -1           1         -1           1
(x - 1) * (x + 1)^3 * (x^2 + x + 1)                     2                       1         -1        -1          1          1          -1         -1           1
(x + 1) * (x - 1)^3 * (x^2 - x + 1)                     2                       1         -1         1         -1         -1           1         -1           1
(x + 1) * (x - 1)^3 * (x^2 + x + 1)                     6                       1         -1        -1          1          1          -1         -1           1
(x - 1) * (x + 1)^3 * (x^2 - x + 1)                     6                       1         -1         1         -1         -1           1         -1           1
